Afrikaans		DutchEnglish
aand		avondevening
aartappelskyfies		(aardappel)chipspotato chips (US) crisps (UK)
afkappingsteken, apostroof		weglatingsteken, afkappingsteken, apostrofapostrophe
afleweringswa, bestelwa, paneelwa		bestelbus (Netherlands) bestelwagen (Belgium)delivery van, panel van
amper		bijna amper means "just" [105]nearly, almost
amptelik		officieel ambtelijk means "ex officio"official
as		alsif
asem		adem asem also used in Belgiumbreath
asseblief		alsjeblieft, alstublieftplease
baadjie, jas		jasje, vestjacket
baba		baby, kindjebaby
babalaas, babelas		katerhangover
baie		heel, zeer, veelvery, much
bakkie		pick-uppick-up truck
beeldpoetser		media-adviseurmedia spokesperson press officer
bergie, boemelaar		zwervervagrant
bestuurslisensie		rijbewijsdriving licence (UK) driver's license (US)
blokkiesraaisel		kruiswoordraadselcrossword puzzle
bobbejaan		baviaanbaboon
bokkie		schatje, liefjebaby, darling
bolla		zoet broodjebun
botsing		botsing, aanrijdingcollision
braai		barbecuebarbecue
Brittanje		Groot-BrittanniëBritain, Great Britain
bromponie		bromfiets, scootermoped, scooter
daardie, daai		diethat, those
dagga		marihuanamarijuana, cannabis
dankie		dank je/u, bedanktthank you, thanks
deur		doorthrough, door
deurmekaar		door elkaar door mekaar dialectalmixed up, confused
die		de, hetthe
duikweg		tunneltunnel, underpass
dwelms		drugs bedwelmen means "intoxicate"drugs
e-pos		e-mail e-post purismemail
eiendoms beperk(Edms.) Bpk.		besloten vennootschap (BV)propriety limited (Pty.) Ltd.
eksie-perfeksie		fantastischcool, great
ekskuus		excuus similar pronunciationsorry, apology
enigiets		nog ietsanything
enigiemand		iedereenanyone
enjin		motorengine
gatvol		zat zijnfed up
geskenk		geschenk, cadeaugift, present
glo		gelovenbelieve
gogga		insectinsect, bug
grasperk		gazonlawn
grondboontjie		pinda  aardnoot, apennoot, grondnoot and olienoot are also sometimes usedpeanut
grondboontjiebotter		pindakaaspeanut butter
gunsteling		favoriet gunsteling older termfavourite
haas		konijn haas means "hare"rabbit
Heilsleër		Leger des Heils Heilsleger older termSalvation Army
hierdie, dié		dit, dezethis, these
hoender		kip hoen, hoender are less common chicken
hoekom?		hoezo? waarom?how come? how so? why?
hoezit! (hoe is dit?)		hoe gaat het? hoe is het?how's it going?
hoërskool		voortgezet onderwijs (Netherlands) secundair onderwijs (Belgium)high school, secondary school
Hollands (taal)		Nederlands (taal)Dutch (language)
horlosie		horlogewatch
hospitaal		ziekenhuis, gasthuis hospitaal mostly used in a military contexthospital
hysbak		liftlift, elevator
inskrywing		abonnement, inschrijvingsubscription
jol		leukheidfun, party
Julie		juliJuly
Junie		juniJune
kaartjie		kaartje, ticketticket
kameelperd		giraffe kameelpaard and kameelpardel considered archaicgiraffe
kampanje		campagne similar pronunciationcampaign
Kanada		CanadaCanada
Kersfees		Kerstmis (Catholic) Kerstfeest (Protestant)Christmas
kitsbank		geldautomaat,  bankautomaatcash machine, ATM
koerant		krant courant older termnewspaper
kombuis		keuken kombuis means "galley"kitchen
konserwatief		conservatiefconservative
kopiereg		copyright, auteursrechtcopyright
landdros		magistraatmagistrate
lê		leggen, liggenlie, lay
leër		landmacht, legerarmy
lemmetjie		limoen lemmetje (Suriname)lime
lemoen		sinaasappel  (Netherlands) appelsien (Belgium)orange
Lid van Parlement (LP)		parlementslid, kamerlidMember of Parliament (MP)
lirieke		songtekstlyrics
lokprent		trailerfilm trailer
lugmag		luchtmachtair force
lughawe		luchthaven, vliegveldairport
lugpos		luchtpostairmail
lugredery		luchtvaartmaatschappijairline
lugwaardin		stewardess luchtwaardin older Belgian purismair hostess air stewardess
maalvleis		gehaktmincemeat
mal oor		gek opmad about
masjienkap		motorkapbonnet (UK) hood (US)
meisie		meisje, meidgirl
mekaar		elkaar mekaar dialectaleach other
melkskommel		milkshakemilkshake
moffie		homogay, effeminate man
moltrein		metrometro, subway train
moontlik		mogelijkpossible
muurpapier		behangwallpaper
na		naarto
ná		naafter
naby		dichtbij, nabijclose to
naweek		weekend  weekeinde sometimes used weekend
nie		nietnot
niggie		nichtjeniece
Nieu-Seeland		Nieuw-ZeelandNew Zealand
nuus		nieuwsnews
nuusblad, nuustydskrif		opinieblad, nieuwsbladnews magazine, news letter
onderskrifte		ondertitelssubtitles
oomblik		moment, ogenblikmoment
oopmaak, maak oop		openen, openmakento open
oorklanking		nasynchronisatiedubbing
oorspronklik		origineel oorspronkelijk used only in relation to the origin or beginningoriginal
oos		oosteast
openbare maatskappy		naamloze vennootschap (NV)public limited company
ou, outjie		kerel, gozerguy, bloke
outomaties		automatischautomatic
padda		kikker pad means "toad"frog
passasier		passagierpassenger
perd		paardhorse
peuselhappie		snack, tussendoortjesnacks
piesang		banaan pisang less common term banana
pikkewyn		pinguïn, vetganspenguin
polisiebeampte		politieagent politiebeambte used formallypolice officer
polisiestasie, polisiekantoor		politiebureau politiekantoor rare termpolice station
posbus		postbuspost office box
poskantoor		postkantoorpost office
posman, posbode		postbodepostman
prokureur		advocaatattorney, solicitor, lawyer
pynappel		ananas pijnappel older term, now means "pine cone"pineapple
ratel		honingdas ratel considered archaichoney badger
reisagent, reisagentskap		reisbureau (Netherlands)reisagentschap (Belgium)travel agent, travel agency
rekenaar		computer rekentuig purism, considered datedcomputer
renoster		neushoorn renoster considered archaicrhinoceros
rolprent		film rolprent considered datedfilm
rubriekskrywer		columnistnewspaper columnist
sakrekenaar		rekenmachine, zakrekenmachine, calculatorcalculator
sambreel		paraplu sombreel means "parasol"umbrella
sampioen		champignonmushroom
saans		's avonds'in the evening
sê		zeggensay
seekoei		nijlpaard zeekoe older term, now means "sea cow"
selfoon		mobiele telefoon, mobieltje (Netherlands)GSM (Belgium)cellulair, cell (Suriname)mobile phone(UK) cellphone(US, South Africa)
sent		centcent
seuntjie		jongen zoontje means "(small) son"boy, young man
sinies		cynischcynical
sinkplaat		golfplaatcorrugated iron
sjokolade		chocoladechocolate
skadu, skaduwee		schaduw, schaduwbeeldshadow
skakel		bellen schakelen means "to change gear"dial, call (telephone number)
skeelhoofpyn		migrainemigraine
skootrekenaar		laptop schootcomputer sometimes usedlaptop
skurf		ruw schurft means "scabies"rough
slagoffer		slachtoffervictim
slaptjips		frietenfrench fries, chips
snippermandjie		prullenmandwastepaper basket
soet		zoetsweet
sokker		voetbalfootball, soccer
soos		als, zoalslike, such as
spinnekop		spin spinnenkop sometimes usedspider
spoed		snelheidspeed
staatsdiens		civiele dienst (Netherlands) overheidsdienst (Belgium)civil service, public service
stasie		station statie older termstation
Statebond		Gemenebest van Naties  statenbond sometimes used for "confederation"Commonwealth of Nations
stasiewa		stationwagenstation wagon, estate
streek		streek, gewest, regioregion
stuurwiel		stuursteering wheel
suid		zuidsouth
suiwer		zuiverclean
suurlemoen		citroenlemon
sypaadjie		stoep, trottoir, voetpadpavement (UK), sidewalk  (US)
tjek		chequecheque, check
toeter		toeter, claxonhooter (UK), horn (US)
troeteldier		huisdierpet (animal)
tuisblad		homepagina, thuispaginahomepage
uitgawe		editie, uitgaveuitgaven can also mean "expenditure"edition, version
uitsaai		omroep, uitzending uitzaaiing means "metastasis"broadcasting
uurglas		zandloperhourglass
van		achternaam, vansurname
vanaand		vanavondthis evening
vanmôre		vanmorgenthis morning
vat		pakkenseize, clutch
verkleurmannetjie (also trapsoetjies, trapsuutjies)		kameleon verkleurmannetje considered archaicchameleon
vir		voorfor
vlak, peil		niveau, peillevel
vlugbeampte, vlugkelner		stewardair steward, flight attendant
voetsek! (voert sê ek!)		verdwijn!get lost! away with you!
vrieskas		vrieskist, diepvries, diepvriezer, vrieskastfreezer
vulstasie		tankstationfilling station, petrol station, service station
vuurhoutjie		lucifer vuurhoutje considered datedmatch, light
wa		wagenwagon
wasbak		wasbak, wastafelwashbasin, sink
wat		welke, wiewhich, who
webwerf		website webstek purismwebsite
weermag		krijgsmacht weermacht sometimes useddefence force, armed forces
wêreldwyd		wereldwijdworldwide
wees		zijn wezen sometimes used informallyto be
wes		westwest
woonstel		appartement, flatapartment, flat
yskas		ijskast, koelkastrefrigerator
Ysland		IJslandIceland
yster		ijzeriron
