Distribution;x86;x86-64;arm;ia64;ppc;ppc64;sparc32;sparc64;hppa;loongson;mips;sh;s390;s390x;alpha;m68k;riscv
Alpine Linux;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No
Arch Linux;Unofficial Official discontinued 2017-11-08;Yes;Unofficial;No;Discontinued unofficial port;No;No;No;No;Discontinued. Unofficial port;No;No;No;No;No;No;No
BackTrack;Discontinued from BackTrack 5 and superseded by Kali Linux;Discontinued from BackTrack 5 and superseded by Kali Linux;Discontinued from BackTrack 5 and superseded by Kali Linux;No;No;No;No;No;No;No;No;No;No;No;No;No;No
BLAG;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Bodhi Linux;Yes;Yes;Discontinued 2013-10-23;No;No;No;No;No;No;No;No;No;No;No;No;No;No
BOSS Linux;Yes;Yes;?;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No
CentOS;AltArch;Yes;AltArch;Discontinued 3.5-3.8 4.1-4.7;Beta, Discontinued 4.0;AltArch;Beta 4.2;No;No;No;No;No;Discontinued 3.5-3.8 4.1-4.7;Discontinued 3.5-3.8 4.1-4.7;Discontinued 4.2-4.3;No;No
Chakra;No;Yes;?;No;No;No;No;No;No;No;No;No;No;No;No;No;No
CRUX;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No
Debian;Yes;Yes 4.0+;Yes 2.2+;Discontinued 3.0-7.0;Discontinued 2.2-8;Yes;Discontinued 2.1-4.0;Discontinued -7;Discontinued 3.0-5.0;Yes;Yes 3.0+;In progress;Discontinued 3.0-7;Yes 7+;Discontinued 2.1-5.0;Discontinued 2.0-3.1;In progress
Devuan;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Dragora GNU/Linux-Libre;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
dyne:bolic;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Fedora;Discontinued from Fedora 30;Yes;Yes;Discontinued from Fedora 9;Discontinued from Fedora 17;Yes;No;Inactive from Fedora 12;No;In progress;Inactive from Fedora 13;No;No;Yes;No;No;In progress
Finnix;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No
Gentoo;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Test release
gNewSense;Yes;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No
Guix System;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;In progress
Hyperbola GNU/Linux-libre;Yes;Yes;No;No;No;In progress;No;No;No;No;No;No;No;No;No;No;In progress
Kali Linux;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
LibreCMC;No;No;No;No;No;No;No;No;No;No;Yes XBurst;No;No;No;No;No;No
Manjaro Linux;Yes Unofficial;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
MEPIS;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Musix GNU+Linux;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
OpenELEC;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
openSUSE Leap;No;Yes;v7 64;No;No;ppc64le;No;No;No;No;No;No;No;No;No;No;No
openSUSE Tumbleweed;Yes;Yes;v6 v7 64;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;RV64G
OpenWrt;Yes;Yes;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;No
Oracle Linux;Yes;Yes;No;Discontinued 5;No;No;No;No;No;No;No;No;No;No;No;No;No
Parabola GNU/Linux-libre;Yes;Yes;Yes, ARMv7;No;No;Test release;No;No;No;Discontinued;Discontinued;No;No;No;No;No;Test release
Red Flag Linux;Discontinued 8.0;Discontinued 8.0;No;Discontinued 3;No;Discontinued 3;No;No;No;No;No;No;No;No;No;No;No
Red Hat Linux;Discontinued 9.0;No;No;Discontinued 7.1-7.2;Test release 5.1;No;Discontinued 4.0-4.2 5.1-6.2;Test release 5.1;No;No;Test release 5.1;No;Discontinued 7.2;Yes;Discontinued 2.1-7.1;Test release 5.1;No
Red Hat Enterprise Linux;Discontinued 2.1-6;Yes 3+;Yes;Discontinued 2.1-5;Yes 3+;Yes 3+;No;No;No;No;No;No;Discontinued 3-4;Yes 3+;No;No;No
Sabayon Linux;Discontinued;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Scientific Linux;Yes;Yes;No;Discontinued 3-4;No;No;No;No;No;No;No;No;No;No;No;No;No
SHR;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Slackware;Yes;Yes;Yes;No;No;No;Discontinued ?;No;No;No;No;No;Discontinued ?;Discontinued ?;Discontinued 8.1;No;No
Solus;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Source Mage GNU/Linux;Yes;Yes;No;No;Yes;No;No;No;No;?;No;No;No;No;No;No;No
SUSE Linux Enterprise Server;Yes;Yes;AArch64 only;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No
Trisquel GNU/Linux;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
TurnKey GNU/Linux;Selected ISOs available;Yes;No - but under development by community;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Ubuntu/Kubuntu/Xubuntu/Lubuntu;Discontinued from Ubuntu 20.04;Yes;Yes, including 64-bit ARMv8-A;No;Yes;Yes;No;No;No;No;No;No;No;Ubuntu only, 16.04+;No;No;No
Ututo;Yes;Yes;No;No;No;No;No;No;No;In progress;No;No;No;No;No;No;No
Void Linux;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
XBMCbuntu;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Yellow Dog Linux;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No
Distribution;x86;x86-64;arm;ia64;ppc;ppc64;sparc32;sparc64;hppa;loongson;mips;sh;s390;s390x;alpha;m68k;riscv
